date,ticker,market,foreign_net_shares,institution_net_shares,individual_net_shares,foreign_holding_ratio_pct,close_krw,volume_shares,source,source_url
2025-11-18,000660,KRX,-640841,-269404,908964,53.63,570000,3544391,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-11-19,000660,KRX,-828120,71561,766031,53.46,562000,4529736,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-11-20,000660,KRX,-226902,144241,93269,53.36,571000,4670237,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-11-21,000660,KRX,-2797136,441817,2322048,53.59,521000,6646712,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-11-24,000660,KRX,-729590,994629,-288527,53.46,520000,6399162,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-11-25,000660,KRX,17030,125250,-123679,53.43,519000,3716730,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-11-26,000660,KRX,-421218,512353,-146745,53.34,524000,5127393,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-11-27,000660,KRX,467986,374015,-833591,53.39,544000,3654092,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-11-28,000660,KRX,-1048265,291765,768693,53.21,530000,2680138,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-01,000660,KRX,674065,-7810,-665671,53.3,538000,3134704,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-02,000660,KRX,515850,182986,-688212,53.39,558000,2686580,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-03,000660,KRX,-420573,101001,301270,53.3,552000,2586619,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-04,000660,KRX,-759269,-155081,908787,53.18,542000,2858305,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-05,000660,KRX,-181794,182172,36431,53.14,544000,3204933,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-08,000660,KRX,498883,202215,-750655,53.23,577000,4288433,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-09,000660,KRX,55984,-55717,-12512,53.24,566000,2391174,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-10,000660,KRX,1237720,18361,-1264407,53.41,587000,3986083,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-11,000660,KRX,-278822,-185201,449867,53.38,565000,4021907,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-12,000660,KRX,-25210,252823,-247896,53.38,571000,2646148,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-15,000660,KRX,119433,-395426,271286,53.41,554000,2482125,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-16,000660,KRX,-707508,-151894,841714,53.32,530000,3287998,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-17,000660,KRX,40342,41873,-113281,53.34,551000,2692626,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-18,000660,KRX,279018,192569,-456566,53.37,552000,2959059,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-19,000660,KRX,-438972,612047,-174550,53.33,547000,3440005,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-22,000660,KRX,691783,884279,-1564175,53.42,580000,2878464,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-23,000660,KRX,163282,296850,-443815,53.44,584000,2011188,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
2025-12-24,000660,KRX,718233,166819,-879200,53.54,588000,2160697,Naver Finance,https://m.stock.naver.com/domestic/stock/000660/tradingTrend?marketType=KRX
