date,turnover,vol_share,extension,momentum,rsi,volatility,basket_corr,score,close,dollar_vol,raw_turnover_ratio,raw_vol_share,raw_extension,raw_momentum_60d,raw_rsi14,raw_realized_vol20,raw_basket_corr
2026-01-05,54.4304,81.8182,58.3333,57.3248,65.239,62.4365,36.1907,57.9298,274.08,2689410274.08,2.1688,0.0336,0.2194,1.0783,65.239,94.9701,0.3619
2026-01-06,58.4906,84.9246,69.8225,72.1519,77.8172,76.7677,40.8076,67.4713,349.63,8478393941.34,2.4594,0.0399,0.5306,1.6961,77.8172,124.3844,0.4081
2026-01-07,59.375,85.5,69.4118,76.7296,78.2579,76.3819,39.8303,68.1057,353.56,5263104766.8,2.5901,0.0425,0.5255,2.0242,78.2579,123.7871,0.3983
2026-01-08,60.8696,88.5572,67.2515,66.875,70.9146,78.0,41.874,66.5403,334.54,7160550028.18,2.8257,0.0476,0.424,1.4853,70.9146,125.6799,0.4187
2026-01-09,62.963,91.5842,72.6744,76.3975,76.3104,82.5871,39.4893,70.5399,377.41,7304046677.62,3.0515,0.0532,0.5793,1.965,76.3104,129.9618,0.3949
2026-01-12,64.4172,94.5813,72.8324,71.6049,77.5511,82.1782,39.0025,70.3601,389.27,5684658511.14,3.1835,0.0575,0.6041,1.6976,77.5511,129.9016,0.39
2026-01-13,64.6341,95.098,72.4138,71.7791,77.6086,65.5172,39.3306,67.9426,389.81,4217182873.6,3.2244,0.0604,0.5811,1.7019,77.6086,111.1662,0.3933
2026-01-14,66.0606,96.0976,69.7143,73.7805,76.8237,65.1961,39.4032,67.901,387.81,4212551222.1,3.3262,0.0631,0.5493,1.7669,76.8237,110.2976,0.394
2026-01-15,70.4819,100.0,73.2955,73.3333,79.2458,65.3659,36.3892,69.4192,409.24,5789298518.12,3.4734,0.0692,0.6089,1.7644,79.2458,110.5491,0.3639
2026-01-16,82.0359,100.0,72.3164,74.0964,79.7125,64.0777,33.4512,70.4837,413.62,6495079823.44,3.6234,0.0753,0.5986,1.7706,79.7125,109.605,0.3345
